Grantee Name,Discipline,Location
256 Healing Center | Chief Awosanmi Sekou Alaje,Multidisciplinary,Flatbush
Aaron Asis,Film/Video,Brooklyn Heights
"Act Now Foundation, Inc.",Film/Video,Brooklyn Heights
Adia Tamar Whitaker,Performing Arts,
Aeilushi Mistry,Dance,
African Peach Arts Coalition (APAC),Literary Arts,Bushwick
Afrolatin@ Project,Performing Arts,
Alicia Foxworth,Theater,Williamsburg
Amanda Gookin,Music,Downtown Brooklyn
Andrew Drury,Music,
Angeli Rasbury,Literary Arts,Bedford-Stuyvesant
Art and Resistance Through Education (ARTE),Visual Arts,Williamsburg
ArtHubNYC,Visual Arts,
Arts & Democracy,Performing Arts,
Arts Gowanus,Multidisciplinary,Gowanus
Asia Stewart,Interdisciplinary,Red Hook
Bailey's Cafe,Multidisciplinary,
Batingua Arts | Persephone DaCosta,Dance,Brownsville
Beareather Reddy,Folk Arts,Bedford-Stuyvesant
Belinda McGuire,Dance,Fort Greene
Benjamin Akio Kimitch,Dance,Boerum Hill
Beryl Briane Ford,,Bedford-Stuyvesant
Black Girls Sew,Visual Arts,Bedford-Stuyvesant
Black Revolutionary Theatre Workshop,Theater,Bedford-Stuyvesant
Blaze Ferrer,Dance,Williamsburg
Brackish - Music & Art,Music,Gowanus
Brianna Kalisch,Multidisciplinary,Fort Greene
Brooke Singer,Interdisciplinary,Williamsburg
Brooklyn Accordion Club,Music,
Brooklyn Arts Exchange,Interdisciplinary,
Brooklyn Raga Massive,Performing Arts,Prospect Heights
Brooklyn Youth Company,Multidisciplinary,Flatbush
Bryce Peterson & Norte Maar,Multidisciplinary,Highland Park
Brydie O'Connor,Film/Video,Prospect Lefferts Gardens
Bundith Phunsombatlert,Visual Arts,Prospect Heights
Cady Finlayson,Music,Sunset Park
Carolyn A. Butts-Schmalenberger,Film/Video,
CART Collective-Ganja War Veterans for Equity,Performing Arts,Canarsie
Center for Art Law,Multidisciplinary,
ChamberQUEER,Music,Williamsburg
Charlotte Juergens,Film/Video,Park Slope
Charukantha,Folk Arts,Kensington
Cheryl Thomas,Folk Arts,Bedford-Stuyvesant
Chief Baba Neil Clarke,Performing Arts,Bedford-Stuyvesant
Chief Baba Neil Clarke | Weeksville Heritage Center,Interdisciplinary,Bedford-Stuyvesant
Christina Massey,Visual Arts,
Cindy Similien,Literary Arts,Crown Heights
City Living NY,Film/Video,
Colin Harte & Sameer Gupta,Music,Park Slope
Coney Island Reggae On The Boardwalk,Music,Coney Island
Connection Works,Music,Gowanus
Continuum Culture & Arts,Music,
CreateART,Multidisciplinary,
Crown Heights Film Festival,Film/Video,Crown Heights
Curatorial Program for Research,Visual Arts,
Current Showcase,Interdisciplinary,DUMBO
Cynthia Tobar & Nathaniel LaNasa,Interdisciplinary,Fort Greene
Dancers Unlimited,Dance,
Dancing Crane Georgian Cultural Center,Performing Arts,Mapleton
Daniela Holban,Visual Arts,Greenpoint
