Year,geoid,type,name,centroid_lng,centroid_lat,bbox_arr
2021,3600155,place,"Accord, NY",-74.2302577,41.8014913,"{-74.256049,41.777443,-74.209688,41.818634}"
2021,3600199,place,"Adams, NY",-76.0229784,43.8102182,"{-76.038113,43.801053,-76.007721,43.821665}"
2021,3600232,place,"Adams Center, NY",-75.9886634,43.8699886,"{-76.024322,43.835064,-75.977639,43.887251}"
2021,3600276,place,"Addison, NY",-77.2319899,42.106321,"{-77.248035,42.09095,-77.212623,42.120509}"
2021,3600342,place,"Afton, NY",-75.5247501,42.2291991,"{-75.53542,42.218351,-75.513788,42.239954}"
2021,3600408,place,"Airmont, NY",-74.0979158,41.0991558,"{-74.128829,41.080491,-74.068927,41.115879}"
2021,3600441,place,"Akron, NY",-78.4978033,43.0179568,"{-78.521548,43.000461,-78.472928,43.030287}"
2021,3600457,place,"Akwesasne, NY",-74.6659831,44.968597,"{-74.789511,44.922795,-74.56152,45.006286}"
2021,3601000,place,"Albany, NY",-73.7983532,42.6657453,"{-73.898099,42.61379,-73.723263,42.722379}"
2021,3601011,place,"Albertson, NY",-73.6481547,40.7715889,"{-73.657416,40.762588,-73.640759,40.781797}"
2021,3601033,place,"Albion, NY",-78.1901999,43.2460241,"{-78.21035,43.234129,-78.165827,43.257583}"
2021,3601088,place,"Alden, NY",-78.4946069,42.8988786,"{-78.511332,42.885959,-78.478123,42.911257}"
2021,3601154,place,"Alexander, NY",-78.2591135,42.902021,"{-78.274993,42.897625,-78.242439,42.906123}"
2021,3601187,place,"Alexandria Bay, NY",-75.9227072,44.3372212,"{-75.934294,44.326087,-75.903636,44.35797}"
2021,3601198,place,"Alfred, NY",-77.7896461,42.2543333,"{-77.803223,42.242182,-77.778021,42.265662}"
2021,3601286,place,"Allegany, NY",-78.4896325,42.0906485,"{-78.50261,42.082796,-78.476844,42.101491}"
2021,3601440,place,"Almond, NY",-77.7386085,42.3193252,"{-77.746129,42.309878,-77.731108,42.328849}"
2021,3601517,place,"Altamont, NY",-74.033633,42.7053446,"{-74.050394,42.694163,-74.020964,42.716608}"
2021,3601550,place,"Altmar, NY",-76.0055776,43.5124247,"{-76.022593,43.497061,-75.984982,43.525774}"
2021,3601572,place,"Altona, NY",-73.6595655,44.8900965,"{-73.679066,44.876018,-73.640867,44.90157}"
2021,3601594,place,"Amagansett, NY",-72.1301315,40.9833817,"{-72.162746,40.949476,-72.091413,41.013764}"
2021,3601682,place,"Amenia, NY",-73.5555745,41.8482033,"{-73.570893,41.835761,-73.54198,41.861121}"
2021,3601737,place,"Ames, NY",-74.6016809,42.837469,"{-74.6079,42.833937,-74.596319,42.84194}"
2021,3602044,place,"Amityville, NY",-73.4157871,40.6698436,"{-73.426965,40.6516,-73.404072,40.692867}"
2021,3602066,place,"Amsterdam, NY",-74.1905662,42.9416277,"{-74.222114,42.919027,-74.161342,42.966263}"
2021,3602121,place,"Andes, NY",-74.7803489,42.1876239,"{-74.800813,42.179892,-74.759411,42.199788}"
2021,3602143,place,"Andover, NY",-77.7960981,42.1569955,"{-77.805771,42.149809,-77.785409,42.165241}"
2021,3602176,place,"Angelica, NY",-78.0206449,42.3055058,"{-78.038603,42.296213,-78.002864,42.314957}"
2021,3602198,place,"Angola, NY",-79.0295159,42.6378853,"{-79.039961,42.627973,-79.019,42.647759}"
2021,3602220,place,"Angola on the Lake, NY",-79.0522406,42.6549657,"{-79.063871,42.631011,-79.034771,42.673886}"
2021,3602286,place,"Antwerp, NY",-75.6089707,44.1995381,"{-75.619944,44.190517,-75.595073,44.208133}"
2021,3602308,place,"Apalachin, NY",-76.1567573,42.0638436,"{-76.177306,42.047458,-76.126644,42.083489}"
2021,3602374,place,"Aquebogue, NY",-72.6153968,40.9440126,"{-72.645305,40.928758,-72.581822,40.959493}"
2021,3602407,place,"Arcade, NY",-78.4418086,42.5305944,"{-78.461565,42.519193,-78.406781,42.550648}"
2021,3602506,place,"Ardsley, NY",-73.8392888,41.0134787,"{-73.853521,41.000642,-73.823639,41.024019}"
2021,3602550,place,"Argyle, NY",-73.490739,43.2363452,"{-73.49635,43.231193,-73.48581,43.241444}"
2021,3602583,place,"Arkport, NY",-77.6954819,42.3925958,"{-77.708709,42.386792,-77.685967,42.399411}"
2021,3602616,place,"Arlington, NY",-73.898949,41.6964785,"{-73.909604,41.689527,-73.888385,41.704475}"
2021,3602649,place,"Armonk, NY",-73.7192792,41.1334622,"{-73.733743,41.100336,-73.694626,41.165204}"
2021,3602737,place,"Asharoken, NY",-73.3850603,40.9392698,"{-73.428463,40.910397,-73.345661,40.964397}"
2021,3602902,place,"Athens, NY",-73.8159333,42.2710296,"{-73.8371,42.248468,-73.784116,42.287897}"
2021,3602968,place,"Atlantic Beach, NY",-73.7250967,40.5860567,"{-73.743237,40.580184,-73.716976,40.593458}"
2021,3603001,place,"Attica, NY",-78.2798144,42.8640968,"{-78.295384,42.855469,-78.259983,42.879046}"
2021,3603078,place,"Auburn, NY",-76.5671806,42.9338003,"{-76.600824,42.906603,-76.536915,42.959268}"
2021,3603188,place,"Aurora, NY",-76.6984386,42.7521924,"{-76.709059,42.736238,-76.69022,42.766775}"
2021,3603254,place,"Au Sable Forks, NY",-73.6708875,44.4546995,"{-73.703062,44.440452,-73.647963,44.463036}"
2021,3603320,place,"Averill Park, NY",-73.5538215,42.644407,"{-73.592514,42.622649,-73.522677,42.655468}"
2021,3603331,place,"Avoca, NY",-77.4248348,42.4148832,"{-77.436029,42.399792,-77.409027,42.420739}"
2021,3603353,place,"Avon, NY",-77.7464901,42.9128422,"{-77.772816,42.897242,-77.725596,42.932701}"
2021,3603408,place,"Babylon, NY",-73.3260004,40.6936792,"{-73.342828,40.673199,-73.313045,40.712168}"
2021,3604033,place,"Bainbridge, NY",-75.4797559,42.3018069,"{-75.496585,42.286491,-75.46227,42.309169}"
2021,3604055,place,"Baiting Hollow, NY",-72.7442523,40.9627932,"{-72.781403,40.9282,-72.701963,40.98578}"
2021,3604143,place,"Baldwin, NY",-73.6077093,40.6501274,"{-73.623694,40.619403,-73.585672,40.687451}"
